hand mà
eat menjar
narrow estret
die morir
leg cama
night nit
swim nedar
near prop
think pensar
heavy pesat
this aquest
they ells
moon lluna
count comptar
hear sentir
mountain muntanya
flower flor
tie lligar
dog gos
hit colpejar
black negre
sing cantar
neck coll
wide ample
ash cendres
liver fetge
fish peix
hair pèl
fat gras
fog boira
person persona
wife muller
wind vent
mouth boca
see veure
head cap
white blanc
right dreta
ice gel
when quan
fly volar
fire foc
man home
tree arbre
thin prim
you tu
water aigua
dry sec
what què
small petit
fruit fruit
smooth llis
animal animal
four quatre
sun sol
live viure
eye ull
lake llac
blood sang
here aquí
straight recte
five cinc
wet humit
root arrel
split partir
father pare
short curt
skin pell
egg ou
new nou
kill matar
there allà
woman dona
dirty brut
big gran
tongue llengua
bad dolent
know saber
mother mare
say dir
we nosaltres
sleep dormir
other altre
walk caminar
full ple
river riu
how com
that aquell
forest bosc
laugh riure
leaf fulla
earth terra
fall caure
grass herba
not no
old vell
warm calent
snow neu
breast pit
good bo
bark escorça
bird ocell
dust pols
seed llavor
who qui
year any
rope corda
burn cremar
meat carn
back esquena
three tres
one un
yellow groc
stone pedra
sea mar
cloud núvol
foot peu
few pocs
snake serp
many molts
rain pluja
worm cuc
thick gruixut
day dia
far lluny
tail cua
horn banya
green verd
wash rentar
push empènyer
smoke fum
sand arena
drink beure
cut tallar
road carretera
all tots
knee genoll
bone os
child nen
give donar
throw llançar
nose nas
long llarg
play jugar
come venir
two dos
correct correcte
dull rom
hold aguantar
fight lluitar
sky cel
some algun
tooth dent
cold fred
stick bastó
husband marit
hunt caçar
feather ploma
wing ala
star estrella
where on
red vermell
he ell
turn girar
heart cor
salt sal
